date,open,high,low,close,volume
2016-04-18,3058.463,3058.463,3022.970,3033.660,18330451200
2016-04-19,3047.133,3054.503,3024.895,3042.823,15653320000
2016-04-20,3050.381,3055.689,2905.049,2972.584,28314421900
2016-04-21,2954.370,2990.673,2943.464,2952.891,18940684900
2016-04-22,2933.035,2960.209,2926.776,2959.240,13721166800
2016-04-25,2949.973,2954.092,2917.020,2946.670,12585624300
2016-04-26,2944.716,2965.429,2933.971,2964.700,11771160400
2016-04-27,2967.190,2976.022,2949.432,2953.671,13086764000
2016-04-28,2955.742,2959.512,2916.374,2945.589,13866327400
2016-04-29,2935.376,2950.576,2930.357,2938.324,10931062800
2016-05-03,2940.392,2993.535,2929.815,2992.643,16870364300
2016-05-04,2983.027,3004.418,2978.330,2991.272,16540710600
2016-05-05,2987.022,2999.118,2977.200,2997.842,14483138300
2016-05-06,2998.402,3003.590,2913.036,2913.248,20679649800
2016-05-09,2896.162,2896.162,2821.826,2832.113,18037833000
2016-05-10,2822.327,2845.238,2820.164,2832.591,12082931000
2016-05-11,2843.545,2857.254,2818.699,2837.037,13579546600
2016-05-12,2812.108,2839.276,2781.236,2835.862,13633765500
2016-05-13,2828.462,2850.093,2814.115,2827.109,11431971000
2016-05-16,2816.775,2851.229,2804.991,2850.862,11465359200
2016-05-17,2850.926,2860.321,2832.459,2843.684,12336906400
2016-05-18,2828.178,2828.255,2781.417,2807.514,14048782600
2016-05-19,2802.315,2829.402,2801.548,2806.906,11159507100
2016-05-20,2792.888,2825.952,2785.080,2825.483,10870089900
2016-05-23,2826.312,2848.071,2826.256,2843.645,12047045500
2016-05-24,2839.682,2839.695,2807.188,2821.666,11145244500
2016-05-25,2835.029,2843.165,2807.749,2815.086,10352726500
2016-05-26,2813.543,2827.092,2780.763,2822.443,11476679700
2016-05-27,2817.968,2832.799,2809.799,2821.046,10984582300
2016-05-30,2814.651,2830.970,2794.661,2822.451,10631958900
2016-05-31,2822.593,2917.135,2822.593,2916.616,21526034100
2016-06-01,2917.154,2929.076,2909.512,2913.508,18838642100
2016-06-02,2911.219,2925.670,2906.524,2925.229,15971691600
2016-06-03,2929.788,2945.519,2915.185,2938.682,17202102300
2016-06-06,2940.994,2945.942,2922.283,2934.098,14199374200
2016-06-07,2936.282,2938.444,2923.502,2936.045,13298786700
2016-06-08,2932.376,2937.986,2908.367,2927.159,14304607100
2016-06-13,2897.273,2911.158,2832.507,2833.071,16925543400
2016-06-14,2824.229,2843.456,2822.061,2842.189,11975527400
2016-06-15,2814.693,2894.264,2811.781,2887.210,16667106900
2016-06-16,2878.402,2887.743,2865.388,2872.817,17388276700
2016-06-17,2873.009,2900.299,2872.185,2885.105,17147251700
2016-06-20,2887.636,2891.658,2864.020,2888.809,13657105100
2016-06-21,2898.384,2919.302,2869.176,2878.558,16435908900
2016-06-22,2872.734,2905.978,2869.513,2905.550,13059042400
2016-06-23,2902.398,2904.112,2878.661,2891.960,13613737500
2016-06-24,2883.759,2899.569,2807.598,2854.286,19084260900
2016-06-27,2840.559,2895.731,2840.277,2895.703,15669747200
2016-06-28,2885.011,2913.582,2878.824,2912.557,17387104700
2016-06-29,2918.534,2933.997,2915.062,2931.592,19321558600
2016-06-30,2931.481,2938.137,2922.312,2929.606,15446493000
2016-07-01,2931.802,2944.989,2925.810,2932.476,14124622700
2016-07-04,2924.293,2992.498,2922.520,2988.604,22201713200
2016-07-05,2991.752,3010.275,2990.642,3006.392,23520445000
2016-07-06,2998.521,3017.652,2984.828,3017.292,21237092000
2016-07-07,3009.353,3024.109,2994.643,3016.847,22268166700
2016-07-08,3000.326,3001.551,2983.881,2988.094,16898685900
2016-07-11,2993.749,3022.944,2990.907,2994.917,22433822400
2016-07-12,2992.520,3049.681,2984.421,3049.381,25948629500
2016-07-13,3049.513,3069.047,3048.199,3060.689,25365938400
2016-07-14,3054.975,3057.046,3036.523,3054.018,18019480400
2016-07-15,3056.682,3062.683,3044.538,3054.296,17286639800
2016-07-18,3047.637,3058.321,3031.639,3043.564,17749656200
2016-07-19,3040.226,3043.600,3014.289,3036.598,15536146600
2016-07-20,3034.714,3042.997,3022.631,3027.900,13824281500
2016-07-21,3027.604,3053.334,3027.368,3039.009,16376737000
2016-07-22,3038.118,3039.270,3007.457,3012.816,16201018100
2016-07-25,3008.094,3027.123,3003.292,3015.828,14420658200
2016-07-26,3014.040,3050.615,3013.802,3050.166,15669450600
2016-07-27,3050.368,3057.424,2939.227,2991.999,28016091500
2016-07-28,2980.501,3003.363,2968.182,2994.323,19056495000
2016-07-29,2992.536,3000.055,2972.917,2979.339,15010153400
2016-08-01,2971.949,2972.875,2931.963,2953.385,14740776300
2016-08-02,2950.080,2971.279,2946.637,2971.279,11546890000
2016-08-03,2963.215,2981.156,2956.786,2978.461,14114133200
2016-08-04,2976.410,2982.860,2958.933,2982.426,13393330100
2016-08-05,2978.778,2991.677,2971.564,2976.696,14185710100
2016-08-08,2972.625,3004.718,2959.048,3004.277,15572983300
2016-08-09,3001.306,3025.911,2998.677,3025.681,16999544600
2016-08-10,3023.472,3033.196,3017.090,3018.746,16467516500
2016-08-11,3013.678,3038.048,3001.168,3002.638,16187948100
2016-08-12,3000.273,3051.054,2999.039,3050.667,16817365700
2016-08-15,3056.484,3137.476,3053.871,3125.195,29761650600
2016-08-16,3130.533,3140.441,3102.065,3110.037,27832893400
2016-08-17,3106.991,3114.255,3090.281,3109.555,21383963700
2016-08-18,3107.753,3125.581,3093.317,3104.114,22935908100
2016-08-19,3100.391,3113.344,3082.771,3108.102,19434745300
2016-08-22,3107.381,3112.740,3083.593,3084.805,18538792700
2016-08-23,3081.572,3101.110,3073.529,3089.706,16136896500
2016-08-24,3092.020,3097.148,3079.548,3085.880,14570744000
2016-08-25,3073.444,3073.444,3041.505,3068.329,17403298000
2016-08-26,3069.850,3087.652,3063.894,3070.309,14966390100
2016-08-29,3068.460,3074.943,3058.785,3070.027,14450000700
2016-08-30,3071.440,3082.988,3065.971,3074.677,14043481100
2016-08-31,3072.916,3087.698,3063.396,3085.491,14136860900
2016-09-01,3083.961,3088.704,3062.876,3063.305,15519109300
2016-09-02,3057.495,3072.526,3050.492,3067.352,15044692000
2016-09-05,3070.707,3085.485,3065.329,3072.095,14496331700
2016-09-06,3071.055,3095.509,3053.187,3090.713,17290852400
2016-09-07,3091.329,3105.678,3087.879,3091.928,18695676300
2016-09-08,3089.953,3096.783,3083.902,3095.954,14588377100
2016-09-09,3095.427,3101.792,3078.218,3078.855,16069292400
2016-09-12,3037.507,3040.952,2999.929,3021.977,20601208600
2016-09-13,3025.035,3029.721,3008.741,3023.510,13538758000
2016-09-14,3008.904,3017.945,2995.416,3002.849,13341340100
2016-09-19,3005.323,3026.651,3005.323,3026.051,11922502700
2016-09-20,3027.172,3027.817,3015.880,3023.000,11892411700
2016-09-21,3021.576,3032.450,3017.541,3025.874,11572121300
2016-09-22,3038.422,3054.435,3035.070,3042.313,13930955400
2016-09-23,3044.786,3046.805,3032.802,3033.896,12559097600
2016-09-26,3028.243,3028.243,2980.117,2980.430,14433028600
2016-09-27,2974.593,2998.233,2969.132,2998.172,12170145000
2016-09-28,3000.695,3000.695,2984.321,2987.858,10462569700
2016-09-29,2992.168,3009.198,2991.909,2998.483,11321391900
2016-09-30,2994.251,3009.195,2993.062,3004.703,10133356200
2016-10-10,3020.457,3048.236,3014.620,3048.143,16005110400
2016-10-11,3051.622,3066.104,3048.018,3065.250,16727349600
2016-10-12,3057.316,3060.514,3048.888,3058.498,14249357700
2016-10-13,3057.972,3064.999,3052.640,3061.346,15475672500
2016-10-14,3056.993,3064.790,3043.184,3063.809,15537370500
2016-10-17,3064.691,3068.812,3033.753,3041.166,16373326500
2016-10-18,3037.404,3084.187,3037.404,3083.875,18204246000
2016-10-19,3085.749,3096.223,3076.771,3084.719,18247014300
2016-10-20,3084.908,3089.682,3076.295,3084.458,16069136400
2016-10-21,3081.389,3101.849,3069.267,3090.941,18738807200
2016-10-24,3092.047,3137.034,3090.786,3128.247,24052234900
2016-10-25,3127.968,3132.505,3121.050,3131.939,20338089800
2016-10-26,3129.838,3129.838,3110.387,3116.312,19166326300
2016-10-27,3112.603,3114.759,3100.392,3112.350,15800878900
2016-10-28,3111.704,3128.643,3101.237,3104.270,18177412300
2016-10-31,3097.188,3102.302,3081.072,3100.492,15150676400
2016-11-01,3101.664,3122.615,3097.042,3122.436,16023203200
2016-11-02,3115.729,3118.977,3099.820,3102.733,18272206700
2016-11-03,3096.765,3140.930,3094.103,3128.936,22298626000
2016-11-04,3126.349,3141.334,3119.535,3125.317,19768319700
2016-11-07,3124.892,3139.202,3117.096,3133.333,17941849000
2016-11-08,3140.944,3156.881,3134.955,3147.888,19084697900
2016-11-09,3146.078,3146.950,3096.947,3128.370,24111495800
2016-11-10,3148.544,3172.309,3148.544,3171.282,24419260200
2016-11-11,3169.401,3202.740,3166.070,3196.044,31085457900
2016-11-14,3187.709,3221.458,3186.796,3210.371,32960831300
2016-11-15,3209.955,3214.292,3195.035,3206.986,24088635000
2016-11-16,3208.497,3210.893,3195.411,3205.057,22176699300
2016-11-17,3198.499,3211.053,3187.206,3208.453,21420624000
2016-11-18,3207.193,3212.394,3187.496,3192.856,20982663900
2016-11-21,3188.496,3229.757,3188.280,3218.148,23065284400
2016-11-22,3220.983,3249.677,3220.983,3248.352,26163154700
2016-11-23,3247.945,3262.879,3231.586,3241.137,24995959200
2016-11-24,3237.428,3257.857,3232.869,3241.736,23232452700
2016-11-25,3241.243,3262.438,3209.598,3261.938,23392160100
2016-11-28,3270.047,3288.337,3267.674,3277.000,28155125300
2016-11-29,3269.234,3301.213,3263.397,3282.924,32083628700
2016-11-30,3272.142,3277.269,3239.521,3250.034,24357605300
2016-12-01,3257.027,3279.671,3256.256,3273.309,23775986400
2016-12-02,3270.121,3279.714,3235.277,3243.843,25956720500
2016-12-05,3203.784,3219.518,3194.879,3204.709,22301039400
2016-12-06,3202.029,3215.311,3196.525,3199.647,15757269300
2016-12-07,3198.475,3222.428,3189.485,3222.242,16907284700
2016-12-08,3225.550,3228.122,3211.471,3215.366,17071017300
2016-12-09,3209.340,3244.801,3207.043,3232.883,20402395600
2016-12-12,3233.666,3245.095,3149.896,3152.970,27470846100
2016-12-13,3138.988,3162.496,3118.712,3155.037,18516449500
2016-12-14,3149.377,3170.021,3136.348,3140.531,20135888700
2016-12-15,3125.757,3138.779,3100.913,3117.677,18999062600
2016-12-16,3111.515,3128.874,3106.346,3122.982,16498869900
2016-12-19,3120.696,3125.284,3110.082,3118.085,15416971600
2016-12-20,3115.898,3117.015,3084.800,3102.876,15742675900
2016-12-21,3107.240,3140.251,3107.240,3137.430,18670660700
2016-12-22,3132.156,3143.169,3126.887,3139.558,16780499000
2016-12-23,3134.929,3138.404,3103.748,3110.154,16617676900
2016-12-26,3095.579,3122.881,3068.415,3122.569,15257188100
2016-12-27,3117.387,3127.883,3113.745,3114.664,14152893900
2016-12-28,3113.767,3118.782,3094.549,3102.236,13572708700
2016-12-29,3095.845,3111.799,3087.344,3096.097,13262329200
2016-12-30,3097.345,3108.839,3089.989,3103.637,13326713000
2017-01-03,3105.309,3136.456,3105.309,3135.921,14156718700
2017-01-04,3133.787,3160.103,3130.115,3158.794,16786085000
2017-01-05,3157.906,3168.502,3154.281,3165.411,17472764500
2017-01-06,3163.776,3172.035,3153.025,3154.321,18370896600
2017-01-09,3148.532,3173.136,3147.735,3171.236,17171407500
2017-01-10,3167.570,3174.578,3157.332,3161.671,17975921600
2017-01-11,3156.686,3167.029,3136.267,3136.754,17836222100
2017-01-12,3133.602,3144.970,3115.979,3119.289,14888924000
2017-01-13,3116.083,3130.515,3102.163,3112.764,15627421400
2017-01-16,3104.492,3105.142,3044.291,3103.428,25788599600
2017-01-17,3087.030,3108.907,3072.338,3108.775,13615786100
2017-01-18,3104.766,3123.720,3098.586,3113.012,13178012800
2017-01-19,3104.972,3115.778,3094.006,3101.299,12385142000
2017-01-20,3095.819,3125.660,3095.215,3123.139,12236677700
2017-01-23,3125.421,3145.841,3125.421,3136.775,13266039200
2017-01-24,3134.592,3149.531,3131.218,3142.553,12597388100
2017-01-25,3137.646,3151.472,3133.191,3149.555,11207382700
2017-01-26,3149.217,3163.104,3148.908,3159.166,11387677200
2017-02-03,3160.082,3162.677,3136.013,3140.170,9222473600
2017-02-06,3143.093,3158.843,3135.387,3156.984,12719828300
2017-02-07,3154.405,3159.544,3140.036,3153.088,12833744200
2017-02-08,3148.086,3167.447,3132.033,3166.982,14492018700
2017-02-09,3164.688,3186.838,3162.574,3183.179,19164032700
2017-02-10,3183.007,3205.049,3182.802,3196.699,23934891300
2017-02-13,3198.995,3219.407,3198.995,3216.839,22019150800
2017-02-14,3216.137,3219.405,3205.285,3217.928,18879808800
2017-02-15,3215.464,3235.998,3206.561,3212.986,24150770600
2017-02-16,3210.357,3230.275,3207.785,3229.618,21695594200
2017-02-17,3227.707,3238.396,3199.425,3202.076,22622817700
2017-02-20,3198.963,3241.458,3198.963,3239.961,23215209600
2017-02-21,3242.223,3254.336,3239.878,3253.326,21167306600
2017-02-22,3252.690,3261.381,3243.840,3261.218,20745377600
2017-02-23,3258.832,3264.082,3236.355,3251.375,20917980000
2017-02-24,3246.860,3253.956,3233.535,3253.433,18640636200
2017-02-27,3249.195,3251.654,3224.088,3228.660,18258107100
2017-02-28,3225.969,3242.679,3225.969,3241.733,15124431800
2017-03-01,3240.073,3259.978,3237.871,3246.934,19067755000
2017-03-02,3250.518,3256.807,3228.665,3230.028,18121507600
2017-03-03,3219.202,3221.155,3206.613,3218.312,15708236800
2017-03-06,3217.335,3234.663,3215.067,3233.866,15609215800
2017-03-07,3233.094,3242.659,3226.822,3242.406,16406423500
2017-03-08,3240.532,3245.304,3230.608,3240.665,16073138800
2017-03-09,3233.701,3233.875,3205.279,3216.746,16737110800
2017-03-10,3213.729,3222.319,3208.447,3212.760,13667274300
2017-03-13,3209.449,3237.121,3193.157,3237.024,16367376000
2017-03-14,3235.252,3246.329,3231.521,3239.328,14694602200
2017-03-15,3235.403,3243.713,3227.738,3241.760,14405568200
2017-03-16,3247.163,3269.770,3247.163,3268.935,18941600200
2017-03-17,3271.867,3274.190,3232.281,3237.447,20058322300
2017-03-20,3241.110,3251.127,3228.118,3250.808,17054843000
2017-03-21,3250.247,3262.221,3246.696,3261.611,16271930600
